student_count,awards_per_value,awards_per_state_value,awards_per_natl_value,exp_award_value,exp_award_state_value,exp_award_natl_value,ft_pct,fte_value,aid_value,endow_value,grad_100_value,grad_150_value,pell_value,retain_value,ft_fac_value,state_sector_ct,carnegie_ct,counted_pct,cohort_size,num_similar,2_yr_inst,4_yr_inst,private_fp,private,public,hbcu_no,hbcu_yes,flagship_no,flagship_yes,associates_privatefp,associates_pr_sl,associates_pr_sm,associates_pu_multi,bachelors_as,bacelors_df,bachelors_associates,masters_lp,masters_mp,Other_institutions
11186,12,15.9,22.79326963024512,32165.0,42194,37780,38.0,7911,4589.0,8677.865365853659,6,13,40.3,57,30.0,25.0,128,40.9,1432,20,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
347,14,17.8,22.5,112204.0,92268,101725,75.5,343,6254.176693925234,44004.0,38,40,47.9,59,45.9,16.0,252,78.2,79,20,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
3028,13,15.9,22.79326963024512,47256.0,42194,37780,59.0,2695,4127.0,8677.865365853659,18,18,68.2,52,39.2,25.0,125,53.6,1044,20,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
1999,15,18.8,21.5,40841.0,75743,66436,84.8,1744,4474.0,97.0,17,29,56.0,57,50.8,13.0,386,58.6,285,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1570,20,15.9,22.79326963024512,35010.0,42194,37780,61.9,1338,4822.0,8677.865365853659,13,20,57.5,57,54.8,25.0,111,52.7,433,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
418,26,15.9,22.79326963024512,123613.0,42194,37780,98.3,422,9624.0,6554.0,23,24,44.2,38,75.0,25.0,111,81.7,229,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1666,12,17.8,22.5,115329.0,92268,101725,94.7,1681,6699.0,10086.0,6,21,82.3,54,77.7,16.0,343,98.1,486,20,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
1481,21,17.8,22.5,51098.0,92268,101725,84.9,1341,8727.0,14086.0,32,49,50.3,77,58.2,16.0,343,63.4,207,20,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
2618,15,18.8,21.5,88163.0,75743,66436,89.8,2455,7109.0,5870.0,23,44,41.4,73,57.6,13.0,169,98.2,483,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
3854,16,15.9,22.79326963024512,33524.0,42194,37780,47.7,2702,3729.0,278.0,2,12,52.3,52,50.3,25.0,289,51.5,834,20,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
5881,17,18.8,21.5,48127.0,75743,66436,81.5,5292,4620.0,4290.0,12,32,41.9,70,68.9,13.0,386,59.6,1023,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2834,23,15.9,22.79326963024512,18843.0,42194,37780,51.2,2409,4890.0,33.0,9,24,62.8,61,36.0,25.0,289,54.6,671,20,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
1861,16,17.8,22.5,86114.0,92268,101725,95.2,1777,6868.0,5665.0,18,36,50.7,78,76.9,16.0,343,80.2,451,20,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
1349,19,15.9,22.79326963024512,52935.0,42194,37780,65.7,1124,4750.0,8677.865365853659,17,23,56.0,56,36.8,25.0,111,63.1,432,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
102,9,20.95158466646544,22.79326963024512,50052.0,24274,24795,100.0,133,4221.0,8677.865365853659,15,25,64.5,83,80.0,5.0,517,19.0,114,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
517,25,15.9,22.79326963024512,36428.0,42194,37780,50.3,673,4162.0,8677.865365853659,19,34,70.1,48,66.7,25.0,111,35.9,105,20,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
3896,11,15.9,22.79326963024512,80555.0,42194,37780,55.7,2822,4061.0,53.0,7,11,63.5,41,53.8,25.0,125,36.8,556,20,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0
3013,19,17.8,22.5,85883.0,92268,101725,94.6,3100,13261.0,8677.865365853659,48,69,14.9,86,63.7,16.0,169,84.4,711,20,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
582,5,17.8,22.5,64000.0,92268,101725,78.2,433,2379.0,8677.865365853659,2,11,75.0,42,81.0,16.0,106,57.64853159299911,150,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
5068,10,15.9,22.79326963024512,73406.0,42194,37780,48.7,4106,3626.0,8677.865365853659,4,8,52.2,58,41.4,25.0,128,51.9,923,20,1,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
2295,20,15.9,22.79326963024512,30913.0,42194,37780,67.1,2023,5164.0,1269.0,7,32,57.4,59,29.9,25.0,289,62.0,597,20,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
11307,17,18.8,21.5,80461.0,75743,66436,77.5,2157,6250.0,11350.0,14,33,37.4,67,68.6,13.0,96,46.3,1418,20,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1292,18,17.8,22.5,108024.0,92268,101725,93.3,1225,6254.176693925234,15871.0,47,56,33.3,75,56.2,16.0,106,86.5,380,20,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
161,18,17.8,22.5,94892.0,92268,101725,80.7,149,5457.0,10059.0,8,24,60.9,64,35.0,16.0,106,37.8,25,20,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
