chronname,city,state,level,control,basic,hbcu,flagship,student_count,awards_per_value,awards_per_state_value,awards_per_natl_value,exp_award_value,exp_award_state_value,exp_award_natl_value,ft_pct,fte_value,med_sat_value,aid_value,endow_value,grad_100_value,grad_150_value,pell_value,retain_value,ft_fac_value,state_sector_ct,carnegie_ct,counted_pct,cohort_size,num_similar
Roxbury Community College,Roxbury Crossing,Massachusetts,2-year,Public,Associates--Public Suburban-serving Multicampus,no,no,2437,16.8,16.9,16.5,80543,49931,37780,32.5,1765,1059.8893044128647,3831.0,1970.0,3.7,12.4,53.1,47.7,38.9,16,99,24.9,322.0,20.0
Salem State University,Salem,Massachusetts,4-year,Public,Masters Colleges and Universities--larger programs,no,no,7664,20.9,20.9,21.5,58873,66839,66436,76.1,6870,986.0,5249.0,2122.0,22.0,45.6,33.4,78.1,45.5,13,386,55.9,1064.0,20.0
Salter College,West Boylston,Massachusetts,2-year,Private for-profit,Associates--Private For-profit,no,no,699,56.7,56.7,32.8,53772,53772,24795,75.8,375,1059.8893044128647,4162.0,32544.04606112785,36.4,44.2,75.1,62.0,18.6,1,517,57.67591933570581,767.0,20.0
Simmons College,Boston,Massachusetts,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,no,no,1732,26.5,22.3,22.5,70527,145629,101725,91.1,1835,1149.0,17941.0,34745.0,66.1,71.2,25.7,86.2,33.8,63,386,85.5,469.0,20.0
Bard College at Simon's Rock,Great Barrington,Massachusetts,4-year,Private not-for-profit,Baccalaureate/Associates Colleges,no,no,350,40.6,22.3,22.5,131341,145629,101725,97.4,360,1059.8893044128647,25952.0,36777.0,28.36446495529276,42.40758580905681,30.5,67.6,80.6,63,124,96.8,658.3060282665128,20.0
Smith College,Northampton,Massachusetts,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,no,no,2606,25.4,22.3,22.5,191571,145629,101725,99.2,2691,1059.8893044128647,33307.0,462144.0,82.3,86.1,22.6,93.7,82.5,63,252,84.8,656.0,20.0
Springfield College (Mass.),Springfield,Massachusetts,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,no,no,2182,21.4,22.3,22.5,73632,145629,101725,97.5,2240,1029.0,15821.0,16906.0,58.3,68.6,21.9,84.3,49.7,63,386,49.0,547.0,20.0
Springfield Technical Community College,Springfield,Massachusetts,2-year,Public,Associates--Public Urban-serving Single Campus,no,no,6792,19.9,16.9,16.5,54007,49931,37780,47.3,4750,1059.8893044128647,3653.0,32544.04606112785,8.2,20.6,55.4,60.9,30.1,16,31,37.1,850.0,20.0
University of Massachusetts at Dartmouth,North Dartmouth,Massachusetts,4-year,Public,Masters Colleges and Universities--larger programs,no,no,7437,18.6,20.9,21.5,82133,66839,66436,85.7,6783,1061.0,7372.0,5411.0,30.2,49.0,38.0,76.1,60.4,13,386,72.9,1901.0,20.0
Stonehill College,Easton,Massachusetts,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,no,no,2481,24.2,22.3,22.5,113273,145629,101725,99.1,2563,1133.0,17688.0,66806.0,81.8,84.8,14.4,86.7,63.2,63,252,96.1,659.0,20.0
Suffolk University,Boston,Massachusetts,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,no,no,5658,22.6,22.3,22.5,80553,145629,101725,92.5,5798,1014.0,15746.0,19361.0,40.6,54.8,29.2,75.5,45.9,63,386,78.1,1308.0,20.0
Tufts University,Medford,Massachusetts,4-year,Private not-for-profit,Research Universities--very high research activity,no,no,5180,28.9,22.3,22.5,169859,145629,101725,99.2,4703,1428.0,29766.0,130838.0,87.2,92.2,11.3,96.4,64.4,63,106,100.0,1370.0,20.0
Wellesley College,Wellesley,Massachusetts,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,no,no,2474,22.5,22.3,22.5,257525,145629,101725,94.7,2658,1399.0,36972.0,593054.0,84.2,90.7,19.2,96.6,75.6,63,252,95.3,590.0,20.0
Wentworth Institute of Technology,Boston,Massachusetts,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,no,no,4012,19.1,22.3,22.5,83160,145629,101725,90.6,4252,1109.0,10669.0,18536.0,49.8,61.5,28.2,78.8,40.6,63,343,77.1,859.0,20.0
Western New England University,Springfield,Massachusetts,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,no,no,2667,22.3,22.3,22.5,88319,145629,101725,93.7,2581,1077.0,13446.0,14958.0,52.2,59.6,25.0,75.3,60.9,63,169,85.2,713.0,20.0
Westfield State University,Westfield,Massachusetts,4-year,Public,Masters Colleges and Universities--medium programs,no,no,5692,22.0,20.9,21.5,53878,66839,66436,87.8,5088,995.0,4767.0,934.0,43.9,58.5,26.1,79.1,46.3,13,169,74.7,947.0,20.0
Wheaton College (Mass.),Norton,Massachusetts,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,no,no,1654,23.0,22.3,22.5,164044,145629,101725,99.5,1638,1059.8893044128647,25982.0,107486.0,71.1,75.6,21.7,85.8,69.3,63,252,96.1,418.0,20.0
Wheelock College,Boston,Massachusetts,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,no,no,880,17.4,22.3,22.5,96379,145629,101725,91.9,1001,996.0,15940.0,31112.0,46.0,54.5,34.7,66.2,37.8,63,169,80.0,224.0,20.0
Williams College,Williamstown,Massachusetts,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,no,no,2096,25.2,22.3,22.5,270253,145629,101725,98.5,2074,1439.0,38309.0,888422.0,89.6,95.4,19.0,98.0,79.4,63,252,90.5,539.0,20.0
Worcester Polytechnic Institute,Worcester,Massachusetts,4-year,Private not-for-profit,Doctoral/Research Universities,no,no,4134,25.8,22.3,22.5,100853,145629,101725,95.8,3231,1059.8893044128647,20014.0,99061.0,70.2,81.2,15.1,95.9,73.7,63,79,93.7,805.0,20.0
Worcester State College,Worcester,Massachusetts,4-year,Public,Masters Colleges and Universities--medium programs,no,no,5556,18.9,20.9,21.5,45447,66839,66436,74.1,4686,1016.0,4441.0,2073.0,34.2,48.8,27.1,80.3,49.6,13,169,54.2,678.0,20.0
Adrian College,Adrian,Michigan,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,no,no,1649,17.9,24.2,22.5,119111,54025,101725,95.9,1695,1007.0,18966.0,16118.0,38.5,54.2,43.7,58.1,46.8,39,343,88.0,483.0,20.0
Albion College,Albion,Michigan,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,no,no,1307,23.8,24.2,22.5,119850,54025,101725,97.3,1420,1143.0,20576.0,121935.0,64.4,73.6,23.7,80.6,78.4,39,252,93.3,500.0,20.0
Alma College,Alma,Michigan,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,no,no,1419,20.9,24.2,22.5,109377,54025,101725,97.1,1387,1100.0,21196.0,74030.0,42.8,61.2,30.6,78.9,57.9,39,252,94.0,425.0,20.0
Alpena Community College,Alpena,Michigan,2-year,Public,Associates--Public Rural-serving Medium,no,no,1712,29.2,18.2,16.5,42986,40211,37780,50.8,1317,1059.8893044128647,3800.0,2723.0,17.6,27.2,52.2,57.8,34.2,30,289,51.2,404.0,20.0
Andrews University,Berrien Springs,Michigan,4-year,Private not-for-profit,Doctoral/Research Universities,no,no,1905,21.0,24.2,22.5,91391,54025,101725,84.9,1831,1070.0,13631.0,13019.0,28.5,60.4,31.6,78.6,71.3,39,79,98.8,333.0,20.0
Aquinas College (Mich.),Grand Rapids,Michigan,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,no,no,1863,21.1,24.2,22.5,68441,54025,101725,87.7,1866,1090.0,13690.0,14687.0,30.4,59.1,33.6,75.8,38.2,39,169,74.4,408.0,20.0
Baker College of Owosso,Owosso,Michigan,4-year,Private not-for-profit,Baccalaureate/Associates Colleges,no,no,2815,21.3,24.2,22.5,0,54025,101725,60.8,2073,1059.8893044128647,5142.0,8524.0,1.8,8.8,66.2,58.3,7.0,39,124,21.4,57.0,20.0
Baker College of Flint,Flint,Michigan,4-year,Private not-for-profit,Baccalaureate/Associates Colleges,no,no,4948,19.0,24.2,22.5,209205,54025,101725,55.4,3853,1059.8893044128647,4998.0,9151.0,0.0,9.1,71.7,51.5,12.1,39,124,54.0,55.0,20.0
Bay De Noc Community College,Escanaba,Michigan,2-year,Public,Associates--Public Rural-serving Medium,no,no,2305,31.1,18.2,16.5,41929,40211,37780,49.8,1503,1059.8893044128647,4902.0,5122.0,10.1,20.7,50.7,60.8,30.7,30,289,51.8,426.0,20.0
Calvin College,Grand Rapids,Michigan,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,no,no,3959,20.3,24.2,22.5,117542,54025,101725,96.3,4047,1183.0,12575.0,27736.0,57.1,72.7,23.3,87.4,73.1,39,252,87.7,1034.0,20.0
Central Michigan University,Mount Pleasant,Michigan,4-year,Public,Doctoral/Research Universities,no,no,20534,20.0,21.3,21.5,45150,76276,66436,87.1,18746,1029.0,6148.0,4019.0,20.9,59.3,34.9,76.7,67.6,16,79,73.7,3768.0,20.0
Mott Community College,Flint,Michigan,2-year,Public,Associates--Public Rural-serving Large,no,no,9683,26.5,18.2,16.5,48072,40211,37780,30.0,7394,1059.8893044128647,7671.0,5072.0,2.9,9.0,53.1,56.6,28.7,30,128,18.0,310.0,20.0
Cleary University,Ann Arbor,Michigan,4-year,Private not-for-profit,Schools of business and management,no,no,457,39.9,24.2,22.5,52969,54025,101725,56.7,358,976.0,4143.0,2574.0,27.8,36.1,49.8,43.3,4.0,39,42,29.1,36.0,20.0
Concordia University (Mich.),Ann Arbor,Michigan,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,no,no,584,20.4,24.2,22.5,60867,54025,101725,86.6,466,1010.0,13026.0,15091.0,13.8,37.2,42.7,61.8,33.3,39,343,53.1,94.0,20.0
College for Creative Studies,Detroit,Michigan,4-year,Private not-for-profit,Schools of art- music- and design,no,no,1363,22.6,24.2,22.5,147150,54025,101725,79.4,1175,1059.8893044128647,11856.0,46810.0,26.7,55.8,37.0,78.1,16.4,39,114,59.1,240.0,20.0
"Davenport University (Grand Rapids, Mich.)",Grand Rapids,Michigan,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,no,no,7356,27.8,24.2,22.5,35227,54025,101725,35.1,5810,1059.8893044128647,13421.0,2572.0,8.1,42.1,52.8,78.9,26.2,39,169,26.6,271.0,20.0
Delta College,University Center,Michigan,2-year,Public,Associates--Public Rural-serving Large,no,no,10272,30.1,18.2,16.5,30184,40211,37780,37.8,7480,1059.8893044128647,4470.0,2031.0,8.3,15.6,46.1,74.7,37.8,30,128,36.4,931.0,20.0
University of Detroit Mercy,Detroit,Michigan,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,no,no,2888,27.0,24.2,22.5,72427,54025,101725,76.0,2590,1142.0,19441.0,6804.0,34.7,56.8,28.7,82.5,44.6,39,386,54.2,528.0,20.0
Eastern Michigan University,Ypsilanti,Michigan,4-year,Public,Masters Colleges and Universities--larger programs,no,no,19189,18.7,21.3,21.5,56231,76276,66436,70.6,15871,1011.0,5708.0,3155.0,12.4,38.4,44.7,73.8,55.4,16,386,50.9,2365.0,20.0
Ferris State University,Big Rapids,Michigan,4-year,Public,Masters Colleges and Universities--larger programs,no,no,13477,28.2,21.3,21.5,49239,76276,66436,68.7,10929,1010.0,6641.0,3364.0,23.1,48.9,41.2,76.7,61.1,16,386,98.0,788.0,20.0
Glen Oaks Community College,Centreville,Michigan,2-year,Public,Associates--Public Rural-serving Small,no,no,1221,24.5,18.2,16.5,28062,40211,37780,43.5,956,1059.8893044128647,3944.0,2897.0,11.2,18.1,46.9,57.6,52.3,30,111,52.3,160.0,20.0
Kettering University,Flint,Michigan,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,no,no,1684,18.3,24.2,22.5,107041,54025,101725,94.4,1625,1198.0,14749.0,38197.0,11.4,60.8,25.2,91.9,100.0,39,169,91.4,385.0,20.0
Gogebic Community College,Ironwood,Michigan,2-year,Public,Associates--Public Rural-serving Small,no,no,1099,30.2,18.2,16.5,36835,40211,37780,58.9,832,1059.8893044128647,4068.0,3794.0,18.1,30.4,54.6,64.2,84.2,30,111,57.8,270.0,20.0
Grace Bible College,Wyoming,Michigan,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,no,no,579,14.9,24.2,22.5,91253,54025,101725,75.6,371,1059.8893044128647,6602.0,1874.0,17.1,41.5,63.4,65.7,11.2,39,343,97.6,41.0,20.0
Cornerstone University,Grand Rapids,Michigan,4-year,Private not-for-profit,Masters Colleges and Universities--larger programs,no,no,2200,21.5,24.2,22.5,47665,54025,101725,73.2,2079,1084.0,10956.0,2801.0,30.2,47.6,43.5,76.1,98.6,39,386,95.9,252.0,20.0
Grand Rapids Community College,Grand Rapids,Michigan,2-year,Public,Associates--Public Urban-serving Single Campus,no,no,16590,15.9,18.2,16.5,67520,40211,37780,34.2,11296,1059.8893044128647,3444.0,3027.0,4.8,12.5,43.2,56.9,26.8,30,31,41.7,2354.0,20.0
Grand Valley State University,Allendale,Michigan,4-year,Public,Masters Colleges and Universities--larger programs,no,no,21235,21.7,21.3,21.5,52585,76276,66436,88.0,19755,1090.0,5001.0,3933.0,33.0,69.5,36.3,81.6,65.9,16,386,67.8,3446.0,20.0
Great Lakes Christian College,Lansing,Michigan,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,no,no,194,17.0,24.2,22.5,161877,54025,101725,73.7,145,1059.8893044128647,3421.0,3551.0,6.2,18.8,76.0,38.7,39.1,39,106,46.2,48.0,20.0
