chronname,city,state,level,control,basic,hbcu,flagship,student_count,awards_per_value,awards_per_state_value,awards_per_natl_value,exp_award_value,exp_award_state_value,exp_award_natl_value,ft_pct,fte_value,med_sat_value,aid_value,endow_value,grad_100_value,grad_150_value,pell_value,retain_value,ft_fac_value,state_sector_ct,carnegie_ct,counted_pct,cohort_size,num_similar
Alabama A&M University,Normal,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,yes,no,4051,14.2,18.8,21.5,105331,75743,66436,93.8,3906,823.0,7142.0,32544.04606112785,10.0,29.1,71.2,63.1,82.8,13,386,99.7,882.0,20.0
University of Alabama at Birmingham,Birmingham,Alabama,4-year,Public,Research Universities--very high research activity,no,no,11502,20.9,18.8,21.5,136546,75743,66436,72.7,10032,1146.0,6088.0,24136.0,29.4,53.5,35.1,80.2,92.4,13,106,56.0,1376.0,20.0
Amridge University,Montgomery,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,no,no,322,29.9,17.8,22.5,58414,92268,101725,62.7,294,1059.8893044128647,2540.0,302.0,0.0,66.7,68.4,37.5,67.2,16,252,100.0,3.0,20.0
University of Alabama at Huntsville,Huntsville,Alabama,4-year,Public,Research Universities--very high research activity,no,no,5696,20.9,18.8,21.5,64418,75743,66436,74.4,5000,1180.0,6647.0,11502.0,16.5,48.4,32.8,81.0,65.5,13,106,43.1,759.0,20.0
Alabama State University,Montgomery,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,yes,no,5356,11.6,18.8,21.5,132407,75743,66436,91.0,5035,830.0,7256.0,13202.0,8.8,25.2,82.7,62.2,67.0,13,386,88.0,1351.0,20.0
University of Alabama at Tuscaloosa,Tuscaloosa,Alabama,4-year,Public,Research Universities--high research activity,no,yes,29440,18.3,18.8,21.5,75350,75743,66436,90.2,27148,1171.0,10390.0,19469.0,42.7,66.7,21.1,87.0,69.5,13,96,75.9,4438.0,20.0
Central Alabama Community College,Alexander City,Alabama,2-year,Public,Associates--Public Rural-serving Medium,no,no,1906,15.9,15.9,16.5,57572,42194,37780,50.0,1489,1059.8893044128647,5057.0,229.0,7.7,9.1,65.1,42.7,38.3,25,289,66.7,594.0,20.0
Auburn University at Montgomery,Montgomery,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,no,no,4322,15.4,18.8,21.5,58541,75743,66436,69.4,3571,970.0,4327.0,10736.0,9.9,27.1,40.1,63.2,60.1,13,386,43.8,536.0,20.0
Auburn University,Auburn University,Alabama,4-year,Public,Research Universities--high research activity,no,no,19799,21.5,18.8,21.5,71999,75743,66436,91.0,19635,1215.0,8875.0,22092.0,37.6,67.9,16.9,89.5,88.7,13,96,75.5,4165.0,20.0
Birmingham-Southern College,Birmingham,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,no,no,1188,23.5,17.8,22.5,113677,92268,101725,98.2,1331,1177.0,20385.0,37598.0,53.2,61.9,21.4,80.4,71.7,16,252,88.9,449.0,20.0
Chattahoochee Valley Community College,Phenix City,Alabama,2-year,Public,Associates--Public Rural-serving Medium,no,no,1837,13.6,15.9,16.5,60303,42194,37780,57.3,1431,1059.8893044128647,4316.0,36.0,7.2,13.4,61.2,51.6,26.7,25,289,40.2,276.0,20.0
Concordia College (Ala.),Selma,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,yes,no,600,12.3,17.8,22.5,105461,92268,101725,90.5,515,1059.8893044128647,4746.0,32544.04606112785,9.8,13.9,83.6,41.0,61.8,16,343,74.5,122.0,20.0
South University at Montgomery,Montgomery,Alabama,4-year,Private for-profit,Baccalaureate/Associates Colleges,no,no,599,15.0,29.1,24.6,76191,17406,38763,51.9,577,1059.8893044128647,4920.0,32544.04606112785,5.3,5.3,71.3,19.4,14.6,9,124,23.0,19.0,20.0
Enterprise State Community College,Enterprise,Alabama,2-year,Public,Associates--Public Rural-serving Medium,no,no,2333,17.4,15.9,16.5,45911,42194,37780,56.5,2101,1059.8893044128647,4936.0,428.0,8.3,12.9,51.2,54.1,41.6,25,289,43.6,520.0,20.0
Faulkner State Community College,Bay Minette,Alabama,2-year,Public,Associates--Public Suburban-serving Multicampus,no,no,4362,11.8,15.9,16.5,55426,42194,37780,59.0,3703,1059.8893044128647,4817.0,32544.04606112785,9.5,10.0,48.9,52.1,38.1,25,99,54.6,1043.0,20.0
Faulkner University,Montgomery,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,no,no,2617,21.5,17.8,22.5,52010,92268,101725,68.9,2658,1059.8893044128647,6697.0,5494.0,10.6,22.9,58.2,50.0,42.4,16,343,49.3,293.0,20.0
Gadsden State Community College,Gadsden,Alabama,2-year,Public,Associates--Public Rural-serving Large,yes,no,5797,14.5,15.9,16.5,54629,42194,37780,54.9,4650,1059.8893044128647,4849.0,649.0,7.4,14.4,60.0,55.9,46.3,25,128,59.4,1523.0,20.0
George C. Wallace Community College at Dothan,Dothan,Alabama,2-year,Public,Associates--Public Rural-serving Medium,no,no,4686,17.1,15.9,16.5,30885,42194,37780,49.0,3611,1059.8893044128647,4941.0,33.0,2.3,14.9,55.5,56.0,59.8,25,289,53.7,953.0,20.0
Wallace State Community College at Hanceville,Hanceville,Alabama,2-year,Public,Associates--Public Rural-serving Medium,no,no,5281,18.8,15.9,16.5,42870,42194,37780,55.9,4486,1059.8893044128647,4815.0,32544.04606112785,11.9,19.5,50.2,63.7,33.4,25,289,49.5,1086.0,20.0
Wallace Community College at Selma,Selma,Alabama,2-year,Public,Associates--Public Rural-serving Medium,no,no,1745,23.8,15.9,16.5,43923,42194,37780,61.2,1574,1059.8893044128647,4952.0,32544.04606112785,10.6,24.8,76.9,53.1,48.2,25,289,51.4,415.0,20.0
Herzing University at Bimingham,Birmingham,Alabama,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields,no,no,320,50.0,29.1,24.6,24343,17406,38763,50.0,338,1059.8893044128647,3781.0,32544.04606112785,0.0,22.2,63.7,50.0,30.8,9,343,60.6,9.0,20.0
Huntingdon College,Montgomery,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,no,no,1110,22.2,17.8,22.5,76919,92268,101725,81.3,1078,999.0,11447.0,41486.0,30.4,43.2,43.0,62.0,36.6,16,343,72.0,257.0,20.0
J.F. Drake State Technical College,Huntsville,Alabama,2-year,Public,Associates--Public Rural-serving Small,yes,no,1383,19.3,15.9,16.5,86504,42194,37780,45.9,921,1059.8893044128647,3385.0,32544.04606112785,15.4,15.4,58.7,42.3,37.0,25,111,26.5,228.0,20.0
Jacksonville State University,Jacksonville,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,no,no,7588,18.1,18.8,21.5,51692,75743,66436,76.2,6856,1036.0,6289.0,1488.0,10.1,30.8,46.1,71.1,65.2,13,386,63.2,1252.0,20.0
Jefferson Davis Community College,Brewton,Alabama,2-year,Public,Associates--Public Rural-serving Small,no,no,1091,20.1,15.9,16.5,40726,42194,37780,56.6,935,1059.8893044128647,4363.0,344.0,13.6,29.5,52.8,51.8,48.6,25,111,50.8,264.0,20.0
Jefferson State Community College,Birmingham,Alabama,2-year,Public,Associates--Public Urban-serving Multicampus,no,no,8542,15.8,15.9,16.5,32495,42194,37780,33.8,6041,1059.8893044128647,3989.0,196.0,1.8,6.5,35.8,52.4,32.1,25,125,33.6,1301.0,20.0
Calhoun Community College,Tanner,Alabama,2-year,Public,Associates--Public Rural-serving Large,no,no,11186,12.8,15.9,16.5,32165,42194,37780,38.0,7911,1059.8893044128647,4589.0,32544.04606112785,6.2,13.3,40.3,57.5,30.0,25,128,40.9,1432.0,20.0
Judson College (Ala.),Marion,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,no,no,347,14.5,17.8,22.5,112204,92268,101725,75.5,343,1023.0,19910.0,44004.0,38.0,40.5,47.9,59.7,45.9,16,252,78.2,79.0,20.0
Lawson State Community College,Birmingham,Alabama,2-year,Public,Associates--Public Urban-serving Multicampus,yes,no,3028,13.5,15.9,16.5,47256,42194,37780,59.0,2695,1059.8893044128647,4127.0,32544.04606112785,18.4,18.5,68.2,52.5,39.2,25,125,53.6,1044.0,20.0
University of West Alabama,Livingston,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,no,no,1999,15.3,18.8,21.5,40841,75743,66436,84.8,1744,950.0,4474.0,97.0,17.9,29.8,56.0,57.8,50.8,13,386,58.6,285.0,20.0
Lurleen B. Wallace Community College,Andalusia,Alabama,2-year,Public,Associates--Public Rural-serving Small,no,no,1570,20.9,15.9,16.5,35010,42194,37780,61.9,1338,1059.8893044128647,4822.0,32544.04606112785,13.2,20.6,57.5,57.0,54.8,25,111,52.7,433.0,20.0
Marion Military Institute,Marion,Alabama,2-year,Public,Associates--Public Rural-serving Small,no,no,418,26.1,15.9,16.5,123613,42194,37780,98.3,422,1040.0,9624.0,6554.0,23.1,24.9,44.2,38.1,75.0,25,111,81.7,229.0,20.0
Miles College,Fairfield,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,yes,no,1666,12.0,17.8,22.5,115329,92268,101725,94.7,1681,1059.8893044128647,6699.0,10086.0,6.0,21.6,82.3,54.8,77.7,16,343,98.1,486.0,20.0
University of Mobile,Mobile,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,no,no,1481,21.7,17.8,22.5,51098,92268,101725,84.9,1341,1058.0,8727.0,14086.0,32.9,49.3,50.3,77.3,58.2,16,343,63.4,207.0,20.0
University of Montevallo,Montevallo,Alabama,4-year,Public,Masters Colleges and Universities--medium programs,no,no,2618,15.9,18.8,21.5,88163,75743,66436,89.8,2455,1070.0,7109.0,5870.0,23.8,44.9,41.4,73.7,57.6,13,169,98.2,483.0,20.0
Northwest-Shoals Community College,Muscle Shoals,Alabama,2-year,Public,Associates--Public Rural-serving Medium,no,no,3854,16.3,15.9,16.5,33524,42194,37780,47.7,2702,1059.8893044128647,3729.0,278.0,2.2,12.7,52.3,52.6,50.3,25,289,51.5,834.0,20.0
University of North Alabama,Florence,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,no,no,5881,17.4,18.8,21.5,48127,75743,66436,81.5,5292,1028.0,4620.0,4290.0,12.3,32.2,41.9,70.8,68.9,13,386,59.6,1023.0,20.0
Northeast Alabama Community College,Rainsville,Alabama,2-year,Public,Associates--Public Rural-serving Medium,no,no,2834,23.7,15.9,16.5,18843,42194,37780,51.2,2409,1059.8893044128647,4890.0,33.0,9.5,24.0,62.8,61.4,36.0,25,289,54.6,671.0,20.0
Oakwood University,Huntsville,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,yes,no,1861,16.9,17.8,22.5,86114,92268,101725,95.2,1777,924.0,6868.0,5665.0,18.8,36.8,50.7,78.8,76.9,16,343,80.2,451.0,20.0
Alabama Southern Community College,Monroeville,Alabama,2-year,Public,Associates--Public Rural-serving Small,no,no,1349,19.5,15.9,16.5,52935,42194,37780,65.7,1124,1059.8893044128647,4750.0,32544.04606112785,17.1,23.4,56.0,56.7,36.8,25,111,63.1,432.0,20.0
Prince Institute-Southeast,Montgomery,Alabama,2-year,Private for-profit,Associates--Private For-profit,no,no,102,9.0,3.2,32.8,50052,24274,24795,100.0,133,1059.8893044128647,4221.0,32544.04606112785,15.8,25.4,64.5,83.3,80.0,5,517,19.0,114.0,0.0
Reid State Technical College,Evergreen,Alabama,2-year,Public,Associates--Public Rural-serving Small,no,no,517,25.0,15.9,16.5,36428,42194,37780,50.3,673,1059.8893044128647,4162.0,32544.04606112785,19.0,34.3,70.1,48.8,66.7,25,111,35.9,105.0,20.0
Bishop State Community College,Mobile,Alabama,2-year,Public,Associates--Public Urban-serving Multicampus,yes,no,3896,11.3,15.9,16.5,80555,42194,37780,55.7,2822,1059.8893044128647,4061.0,53.0,7.2,11.0,63.5,41.2,53.8,25,125,36.8,556.0,20.0
Samford University,Birmingham,Alabama,4-year,Private not-for-profit,Masters Colleges and Universities--medium programs,no,no,3013,19.9,17.8,22.5,85883,92268,101725,94.6,3100,1153.0,13261.0,60561.0,48.9,69.2,14.9,86.7,63.7,16,169,84.4,711.0,20.0
Selma University,Selma,Alabama,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,yes,no,582,5.2,17.8,22.5,64000,92268,101725,78.2,433,1059.8893044128647,2379.0,32544.04606112785,2.0,11.3,75.0,42.0,81.0,16,106,57.67591933570581,150.0,0.0
Shelton State Community College,Tuscaloosa,Alabama,2-year,Public,Associates--Public Rural-serving Large,yes,no,5068,10.7,15.9,16.5,73406,42194,37780,48.7,4106,1059.8893044128647,3626.0,32544.04606112785,4.3,8.2,52.2,58.5,41.4,25,128,51.9,923.0,20.0
Snead State Community College,Boaz,Alabama,2-year,Public,Associates--Public Rural-serving Medium,no,no,2295,20.7,15.9,16.5,30913,42194,37780,67.1,2023,1059.8893044128647,5164.0,1269.0,7.0,32.2,57.4,59.4,29.9,25,289,62.0,597.0,20.0
University of South Alabama,Mobile,Alabama,4-year,Public,Research Universities--high research activity,no,no,11307,17.3,18.8,21.5,80461,75743,66436,77.5,10289,1064.0,6250.0,11350.0,14.1,33.2,37.4,67.9,68.6,13,96,46.3,1418.0,20.0
Spring Hill College,Mobile,Alabama,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,no,no,1292,18.5,17.8,22.5,108024,92268,101725,93.3,1225,1100.0,18715.0,15871.0,47.1,56.3,33.3,75.6,56.2,16,106,86.5,380.0,20.0
Southeastern Bible College,Birmingham,Alabama,4-year,Private not-for-profit,Theological seminaries- Bible colleges- and other faith-related institutions,no,no,161,18.7,17.8,22.5,94892,92268,101725,80.7,149,970.0,5457.0,10059.0,8.0,24.0,60.9,64.3,35.0,16,106,37.8,25.0,20.0
Stillman College,Tuscaloosa,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,yes,no,863,11.8,17.8,22.5,128277,92268,101725,93.6,940,882.0,7526.0,19434.0,16.9,26.2,74.3,61.2,87.9,16,252,72.6,378.0,20.0
Talladega College,Talladega,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Arts & Sciences,yes,no,932,13.1,17.8,22.5,163659,92268,101725,91.1,542,1059.8893044128647,16234.0,6100.0,82.4,82.4,96.6,32.9,81.1,16,252,87.4,125.0,20.0
Trenholm State Technical College,Montgomery,Alabama,2-year,Public,Associates--Public Rural-serving Small,yes,no,1351,17.7,15.9,16.5,39149,42194,37780,52.6,1275,1059.8893044128647,3409.0,32544.04606112785,19.8,32.7,61.0,49.8,64.4,25,111,38.5,278.0,20.0
Troy University,Troy,Alabama,4-year,Public,Masters Colleges and Universities--larger programs,no,no,16316,21.4,18.8,21.5,38447,75743,66436,56.0,13261,1059.8893044128647,5321.0,33.0,13.3,35.5,47.6,73.9,37.4,13,386,32.8,1667.0,20.0
Tuskegee University,Tuskegee,Alabama,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,yes,no,2584,13.9,17.8,22.5,177188,92268,101725,95.5,2606,937.0,4792.0,37366.0,16.7,43.8,64.5,72.4,100.0,16,343,31.5,796.0,20.0
Bevill State Community College,Jasper,Alabama,2-year,Public,Associates--Public Rural-serving Medium,no,no,3490,16.6,15.9,16.5,44867,42194,37780,51.8,2970,1059.8893044128647,4296.0,50.0,6.3,13.9,58.4,58.1,34.6,25,289,57.5,1006.0,20.0
University of Alaska at Anchorage,Anchorage,Alaska,4-year,Public,Masters Colleges and Universities--larger programs,no,no,16380,16.1,16.3,21.5,88284,103823,66436,46.9,11469,1059.8893044128647,4830.0,4018.0,8.7,27.8,24.7,70.6,47.4,3,386,54.7,952.0,20.0
University of Alaska at Fairbanks,Fairbanks,Alaska,4-year,Public,Research Universities--high research activity,no,yes,7989,16.6,16.3,21.5,147044,103823,66436,45.7,5545,1059.8893044128647,5315.0,12346.0,14.1,37.3,23.5,76.9,69.4,3,96,67.8,523.0,20.0
University of Alaska-Southeast,Juneau,Alaska,4-year,Public,Masters Colleges and Universities--smaller programs,no,no,2645,16.2,16.3,21.5,70131,103823,66436,31.0,1544,1059.8893044128647,4688.0,2108.0,4.1,12.2,18.3,71.6,47.5,3,106,15.1,49.0,20.0
Alaska Pacific University,Anchorage,Alaska,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,no,no,387,22.9,22.9,22.5,97275,97275,101725,63.3,342,1008.0,7508.0,192792.0,25.0,40.0,27.9,66.7,37.6,1,106,21.8,40.0,20.0
Charter College,Anchorage,Alaska,4-year,Private for-profit,Baccalaureate/Associates Colleges,no,no,2191,34.2,34.2,24.6,30416,30416,38763,100.0,2983,1059.8893044128647,3310.0,32544.04606112785,21.9,21.9,66.0,43.3,21.2,1,124,23.2,128.0,20.0
Prince William Sound Community College,Valdez,Alaska,2-year,Public,Associates--Public Rural-serving Medium,no,no,471,5.1,9.1,16.5,432087,160134,37780,11.7,263,1059.8893044128647,2930.0,220.0,15.4,19.2,20.9,40.0,22.2,2,289,16.6,26.0,20.0
Everest College,Phoenix,Arizona,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates,no,no,2761,27.0,32.8,24.6,48603,25661,38763,53.9,2008,1059.8893044128647,4689.0,32544.04606112785,15.3,23.7,82.6,66.23185289957567,14.1,23,83,62.4,59.0,20.0
Carrington College at Phoenix,Phoenix,Arizona,4-year,Private for-profit,Associates--Private For-profit,no,no,676,73.6,32.8,24.6,25833,25661,38763,100.0,573,1059.8893044128647,3736.0,32544.04606112785,28.36446495529276,42.40758580905681,72.6,66.23185289957567,53.6,23,517,57.67591933570581,658.3060282665128,20.0
Carrington College-Mesa,Mesa,Arizona,2-year,Private for-profit,Not applicable- not in Carnegie universe,no,no,691,60.4,36.8,32.8,38369,21312,24795,90.3,767,1059.8893044128647,4077.0,32544.04606112785,10.6,68.4,73.0,71.8,24.0,12,81,57.67591933570581,414.0,20.0
Carrington College-Tucson,Tucson,Arizona,2-year,Private for-profit,Not applicable- not in Carnegie universe,no,no,440,76.4,36.8,32.8,23947,21312,24795,99.3,379,1059.8893044128647,3556.0,32544.04606112785,4.0,63.0,65.1,72.7,42.1,12,81,57.67591933570581,481.0,20.0
CollegeAmerica at Flagstaff,Flagstaff,Arizona,4-year,Private not-for-profit,Associates--Private For-profit,no,no,209,24.8,21.7,22.5,44486,35493,101725,100.0,401,1059.8893044128647,3651.0,32544.04606112785,28.36446495529276,42.40758580905681,84.3,65.2,64.3,4,517,57.67591933570581,658.3060282665128,20.0
International Institute of the Americas at Glendale,Phoenix,Arizona,4-year,Private for-profit,Baccalaureate/Associates Colleges,no,no,828,18.4,32.8,24.6,71648,25661,38763,100.0,736,1059.8893044128647,4191.0,32544.04606112785,37.5,42.9,66.1,44.7,14.8,23,124,57.67591933570581,56.0,20.0
Arizona State University at Tempe,Tempe,Arizona,4-year,Public,Research Universities--very high research activity,no,no,38730,23.7,22.0,21.5,79866,75690,66436,90.3,38789,1145.0,8503.0,8058.0,37.7,59.5,33.8,84.4,87.6,4,106,59.4,7308.0,20.0
Arizona Western College,Yuma,Arizona,2-year,Public,Associates--Public Rural-serving Large,no,no,8000,20.7,20.4,16.5,28732,25969,37780,35.0,5538,1059.8893044128647,5138.0,309.0,10.2,17.5,58.0,62.5,31.1,20,128,38.5,954.0,20.0
University of Arizona,Tucson,Arizona,4-year,Public,Research Universities--very high research activity,no,yes,31670,21.3,22.0,21.5,86900,75690,66436,89.7,30837,1106.0,10381.0,15972.0,39.9,61.4,32.7,81.5,76.4,4,106,73.5,6231.0,20.0
Art Center Design College (Ariz.),Tucson,Arizona,4-year,Private for-profit,Schools of art- music- and design,no,no,216,12.7,32.8,24.6,113274,25661,38763,58.3,277,1059.8893044128647,2616.0,32544.04606112785,10.0,33.3,53.1,84.6,56.5,23,114,46.8,30.0,20.0
Central Arizona College,Coolidge,Arizona,2-year,Public,Associates--Public Suburban-serving Multicampus,no,no,6445,20.2,20.4,16.5,49921,25969,37780,33.0,4893,1059.8893044128647,3603.0,847.0,18.3,18.3,46.4,49.3,21.4,20,99,19.5,514.0,20.0
Brown Mackie College - Tucson,Tucson,Arizona,4-year,Private for-profit,Baccalaureate Colleges--Diverse Fields,no,no,684,27.0,32.8,24.6,48057,25661,38763,100.0,685,1059.8893044128647,4235.0,32544.04606112785,20.0,20.0,83.5,0.0,6.7,23,343,69.3,5.0,20.0
Cochise College,Douglas,Arizona,2-year,Public,Associates--Public Rural-serving Large,no,no,4453,22.5,20.4,16.5,11180,25969,37780,37.0,7909,1059.8893044128647,4089.0,665.0,10.2,18.3,30.8,56.0,24.9,20,128,30.5,481.0,20.0
Eastern Arizona College,Thatcher,Arizona,2-year,Public,Associates--Public Rural-serving Large,no,no,6602,17.3,20.4,16.5,26448,25969,37780,29.6,3810,1059.8893044128647,4717.0,32544.04606112785,13.6,22.1,19.8,54.1,25.7,20,128,43.5,818.0,20.0
Embry-Riddle Aeronautical University at Prescott,Prescott,Arizona,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,no,no,1879,20.6,21.7,22.5,0,35493,101725,93.3,1674,1171.0,10781.0,11293.0,36.8,59.1,28.8,82.8,70.2,4,343,77.9,399.0,20.0
Glendale Community College (Ariz.),Glendale,Arizona,2-year,Public,Associates--Public Urban-serving Multicampus,no,no,20872,21.0,20.4,16.5,26032,25969,37780,34.6,12558,1059.8893044128647,3411.0,32544.04606112785,5.5,12.2,38.1,59.5,31.4,20,125,32.8,2235.0,20.0
Grand Canyon University,Phoenix,Arizona,4-year,Private for-profit,Masters Colleges and Universities--larger programs,no,no,35205,17.7,32.8,24.6,34866,25661,38763,22.7,27695,1059.8893044128647,7117.0,32544.04606112785,24.1,30.4,52.6,58.8,11.0,23,386,8.9,112.0,20.0
Anthem College at Phoenix,Phoenix,Arizona,4-year,Private for-profit,Associates--Private For-profit 4-year Primarily Associates,no,no,2238,15.2,32.8,24.6,34973,25661,38763,100.0,3081,1059.8893044128647,4745.0,32544.04606112785,32.4,70.6,77.9,87.5,49.4,23,83,57.67591933570581,34.0,20.0
Kaplan College (Phoenix),Phoenix,Arizona,2-year,Private for-profit,Associates--Private For-profit,no,no,93,24.1,36.8,32.8,26096,21312,24795,100.0,523,1059.8893044128647,3676.0,32544.04606112785,0.0,62.8,51.5,77.8,22.2,12,517,57.67591933570581,253.0,20.0
Gateway Community College,Phoenix,Arizona,2-year,Public,Associates--Public Urban-serving Multicampus,no,no,6440,23.8,20.4,16.5,27255,25969,37780,20.9,3415,1059.8893044128647,2822.0,32544.04606112785,7.5,13.3,33.7,55.3,28.0,20,125,11.8,240.0,20.0
Mesa Community College,Mesa,Arizona,2-year,Public,Associates--Public Urban-serving Multicampus,no,no,23678,22.6,20.4,16.5,25949,25969,37780,31.9,14734,1059.8893044128647,3225.0,32544.04606112785,5.3,12.5,37.3,56.3,29.1,20,125,31.6,2417.0,20.0
ITT Technical Institute at Tucson,Tucson,Arizona,4-year,Private for-profit,Other technology-related schools,no,no,409,35.9,32.8,24.6,31167,25661,38763,74.6,468,1059.8893044128647,4364.0,32544.04606112785,25.0,25.0,73.0,66.23185289957567,11.1,23,54,64.3,8.0,20.0
ITT Technical Institute at Tempe,Tempe,Arizona,4-year,Private for-profit,Other technology-related schools,no,no,498,36.1,32.8,24.6,29620,25661,38763,78.7,575,1059.8893044128647,4519.0,32544.04606112785,0.0,6.2,68.0,0.0,11.4,23,54,59.6,16.0,20.0
Mohave Community College,Kingman,Arizona,2-year,Public,Associates--Public Suburban-serving Multicampus,no,no,5227,21.1,20.4,16.5,28574,25969,37780,27.4,3309,1059.8893044128647,6417.0,1135.0,18.1,18.1,47.7,52.9,20.7,20,99,16.2,254.0,20.0
Dine College,Tsaile,Arizona,4-year,Public,Tribal Colleges,no,no,1466,10.2,22.0,21.5,165574,75690,66436,62.2,1357,1059.8893044128647,4746.0,3400.0,28.36446495529276,42.40758580905681,82.2,80.0,100.0,4,33,56.1,658.3060282665128,20.0
Northern Arizona University,Flagstaff,Arizona,4-year,Public,Research Universities--high research activity,no,no,22160,20.1,22.0,21.5,49529,75690,66436,83.8,21724,1050.0,7224.0,4163.0,30.2,49.3,37.8,71.8,61.2,4,96,58.8,2877.0,20.0
Northland Pioneer College,Holbrook,Arizona,2-year,Public,Associates--Public Rural-serving Large,no,no,3233,8.6,20.4,16.5,59951,25969,37780,20.8,1964,1059.8893044128647,2982.0,6.0,5.4,10.7,29.4,26.4,32.2,20,128,6.4,149.0,20.0
Phoenix College,Phoenix,Arizona,2-year,Public,Associates--Public Urban-serving Multicampus,no,no,12676,22.7,20.4,16.5,28815,25969,37780,27.0,7001,1059.8893044128647,3349.0,32544.04606112785,4.8,10.8,47.3,60.3,21.0,20,125,16.8,734.0,20.0
University of Phoenix Phoenix Hokokam Campus,Tempe,Arizona,4-year,Private for-profit,Masters Colleges and Universities--larger programs,no,no,3099,23.4,32.8,24.6,25979,25661,38763,100.0,2721,1059.8893044128647,4529.0,32544.04606112785,0.0,15.9,52.4,46.1,5.6,23,386,27.7,328.0,20.0
Pima Community College,Tucson,Arizona,2-year,Public,Associates--Public Urban-serving Multicampus,no,no,30082,22.1,20.4,16.5,30402,25969,37780,35.8,18794,1059.8893044128647,3573.0,240.0,3.3,6.8,32.7,60.7,27.3,20,125,28.5,2204.0,20.0
Pima Medical Institute at Tucson,Tucson,Arizona,4-year,Private for-profit,Associates--Private For-profit,no,no,1726,24.6,32.8,24.6,14597,25661,38763,100.0,2357,1059.8893044128647,5577.0,32544.04606112785,28.36446495529276,42.40758580905681,49.0,80.6,39.4,23,517,57.67591933570581,658.3060282665128,20.0
Pima Medical Institute at Albuquerque,Albuquerque,New Mexico,2-year,Private for-profit,Associates--Private For-profit,no,no,930,23.1,36.7,32.8,17582,25926,24795,100.0,1393,1059.8893044128647,5501.0,32544.04606112785,26.0,69.5,61.8,72.9,35.4,2,517,57.67591933570581,960.0,20.0
Prescott College,Prescott,Arizona,4-year,Private not-for-profit,Masters Colleges and Universities--smaller programs,no,no,545,26.1,21.7,22.5,48453,35493,101725,81.5,680,1094.0,11847.0,1166.0,23.2,37.7,45.5,73.4,67.0,4,106,33.2,69.0,20.0
Refrigeration School,Phoenix,Arizona,2-year,Private for-profit,Associates--Private For-profit,no,no,621,44.1,36.8,32.8,15618,21312,24795,100.0,842,1059.8893044128647,4183.0,32544.04606112785,33.3,69.1,64.5,69.4,90.5,12,517,57.67591933570581,627.0,20.0
Rio Salado College,Tempe,Arizona,2-year,Public,Associates--Public Urban-serving Multicampus,no,no,21472,7.4,20.4,16.5,13257,25969,37780,14.2,15333,1059.8893044128647,2470.0,32544.04606112785,15.2,17.2,25.6,19.2,2.3,20,125,5.0,343.0,20.0
Scottsdale Community College,Scottsdale,Arizona,2-year,Public,Associates--Public Urban-serving Single Campus,no,no,10313,27.9,20.4,16.5,28959,25969,37780,30.6,6030,1059.8893044128647,3242.0,32544.04606112785,6.7,15.1,22.0,57.6,30.2,20,31,27.1,996.0,20.0
South Mountain Community College,Phoenix,Arizona,2-year,Public,Associates--Public Urban-serving Multicampus,no,no,4718,28.0,20.4,16.5,30571,25969,37780,30.5,2737,1059.8893044128647,3271.0,32544.04606112785,9.4,16.0,50.5,59.4,26.3,20,125,16.8,424.0,20.0
Arizona Christian University,Phoenix,Arizona,4-year,Private not-for-profit,Baccalaureate Colleges--Diverse Fields,no,no,635,16.3,21.7,22.5,123061,35493,101725,71.5,526,1045.0,18596.0,3657.0,28.1,47.4,32.8,68.1,20.5,4,343,47.8,57.0,20.0
