iter	Passed	Remaining
278	2217	5729
279	2225	5722
280	2233	5715
281	2241	5707
282	2249	5699
283	2258	5693
284	2266	5685
285	2274	5677
286	2282	5669
287	2290	5662
288	2298	5655
289	2307	5649
290	2315	5641
291	2323	5634
292	2332	5627
293	2340	5620
294	2348	5612
295	2357	5607
296	2363	5595
297	2371	5587
298	2380	5579
299	2387	5571
300	2395	5563
301	2403	5556
302	2412	5549
303	2420	5541
304	2428	5534
305	2437	5528
306	2446	5521
307	2453	5512
308	2462	5506
309	2470	5498
310	2478	5491
311	2486	5483
312	2494	5475
313	2503	5469
314	2512	5463
315	2520	5455
316	2528	5448
317	2537	5442
318	2545	5434
319	2553	5426
320	2564	5423
321	2572	5417
322	2581	5410
323	2589	5403
324	2598	5396
325	2609	5395
326	2624	5401
327	2633	5394
328	2641	5386
329	2653	5387
330	2661	5380
331	2671	5374
332	2679	5367
333	2687	5359
334	2699	5358
335	2707	5350
336	2716	5343
337	2724	5335
338	2732	5328
339	2741	5321
340	2749	5314
341	2758	5307
342	2767	5301
343	2776	5294
344	2785	5287
345	2799	5291
346	2815	5297
347	2825	5293
348	2833	5285
349	2842	5278
350	2851	5271
351	2859	5263
352	2866	5254
353	2875	5247
354	2883	5239
355	2892	5231
356	2900	5223
357	2908	5215
358	2916	5208
359	2925	5201
360	2935	5196
361	2950	5199
362	2958	5192
363	2969	5189
364	2980	5184
365	2988	5176
366	2995	5166
367	3003	5157
368	3010	5148
369	3018	5139
370	3031	5139
371	3039	5131
372	3048	5123
373	3056	5116
374	3068	5113
375	3081	5113
376	3089	5105
377	3098	5097
378	3106	5089
379	3114	5081
380	3122	5073
381	3131	5065
382	3139	5057
383	3147	5049
384	3156	5042
385	3165	5034
386	3173	5026
387	3181	5018
388	3190	5011
389	3199	5004
390	3208	4997
391	3217	4989
392	3225	4982
393	3234	4974
394	3242	4966
395	3250	4958
396	3258	4949
397	3267	4941
398	3275	4934
399	3284	4926
400	3292	4918
401	3300	4909
402	3308	4901
403	3316	4893
404	3325	4885
405	3333	4877
406	3341	4868
407	3349	4859
408	3356	4850
409	3364	4841
410	3372	4832
411	3379	4823
412	3387	4814
413	3396	4807
414	3404	4799
415	3413	4792
416	3424	4788
417	3439	4788
418	3447	4780
419	3455	4772
420	3464	4764
421	3473	4757
422	3481	4748
423	3489	4740
424	3497	4731
425	3506	4724
426	3515	4716
427	3523	4709
428	3532	4701
429	3540	4693
430	3549	4685
431	3559	4680
432	3567	4672
433	3575	4663
434	3584	4655
435	3592	4646
436	3600	4638
437	3608	4630
438	3617	4622
439	3625	4614
440	3634	4607
441	3643	4599
442	3651	4590
443	3659	4582
444	3667	4574
445	3676	4566
446	3684	4558
447	3692	4549
448	3701	4541
449	3709	4533
450	3717	4525
451	3725	4517
452	3735	4510
453	3744	4502
454	3752	4494
455	3760	4485
456	3769	4478
457	3777	4470
458	3786	4462
459	3794	4454
460	3803	4446
461	3811	4438
462	3819	4430
463	3827	4421
464	3836	4414
465	3844	4405
466	3853	4397
467	3861	4389
468	3869	4381
469	3878	4373
470	3886	4365
471	3894	4357
472	3903	4349
473	3911	4340
474	3920	4332
475	3928	4324
476	3936	4316
477	3945	4308
478	3953	4300
479	3962	4292
480	3970	4284
481	3978	4276
482	3987	4267
483	3995	4259
484	4005	4253
485	4013	4244
486	4022	4236
487	4030	4228
488	4039	4221
489	4047	4213
490	4056	4205
491	4065	4197
492	4073	4188
493	4081	4180
494	4090	4172
495	4099	4165
496	4107	4156
497	4115	4148
498	4123	4140
499	4131	4131
500	4140	4123
501	4149	4116
502	4157	4107
503	4165	4099
504	4174	4091
505	4182	4083
506	4191	4075
507	4198	4066
508	4207	4058
509	4215	4050
510	4224	4042
511	4233	4034
512	4241	4026
513	4249	4018
514	4258	4010
515	4266	4001
516	4275	3994
517	4283	3986
518	4297	3983
519	4306	3974
520	4314	3966
521	4324	3959
522	4333	3952
523	4342	3944
524	4350	3936
525	4358	3927
526	4367	3920
527	4378	3913
528	4386	3905
529	4393	3896
530	4402	3888
531	4411	3880
532	4419	3872
533	4427	3864
534	4440	3859
535	4451	3853
536	4460	3845
537	4469	3837
538	4477	3829
539	4486	3821
540	4494	3813
541	4502	3804
542	4511	3796
543	4518	3787
544	4528	3780
545	4539	3774
546	4548	3766
547	4556	3758
548	4565	3750
549	4573	3741
550	4582	3733
551	4590	3725
552	4598	3717
553	4607	3708
554	4615	3700
555	4623	3692
556	4632	3684
557	4640	3675
558	4648	3667
559	4656	3659
560	4665	3651
561	4674	3642
562	4682	3634
563	4691	3626
564	4699	3618
565	4708	3610
566	4716	3601
567	4724	3593
568	4732	3584
569	4742	3577
570	4751	3570
571	4760	3561
572	4769	3554
573	4777	3545
574	4785	3537
575	4793	3528
576	4802	3520
577	4817	3517
578	4826	3509
579	4834	3501
580	4849	3497
581	4858	3489
582	4866	3481
583	4875	3473
584	4884	3464
585	4893	3456
586	4901	3448
587	4910	3440
588	4921	3434
589	4937	3430
590	4951	3426
591	4959	3418
592	4968	3409
593	4976	3401
594	4984	3392
595	4993	3384
596	5002	3376
597	5011	3368
598	5019	3360
599	5028	3352
600	5037	3344
601	5045	3335
602	5054	3327
603	5062	3318
604	5071	3310
605	5079	3302
606	5087	3294
607	5096	3285
608	5104	3277
609	5120	3273
610	5131	3267
611	5142	3260
612	5154	3254
613	5166	3248
614	5178	3241
615	5190	3235
616	5202	3229
617	5214	3223
618	5225	3216
619	5242	3213
620	5253	3206
621	5265	3199
622	5276	3192
623	5287	3186
624	5298	3179
625	5310	3172
626	5323	3166
627	5334	3159
628	5345	3152
629	5356	3145
630	5367	3139
631	5378	3131
632	5389	3124
633	5400	3117
634	5417	3114
635	5429	3107
636	5439	3099
637	5450	3092
638	5461	3085
639	5472	3078
640	5484	3071
641	5495	3064
642	5507	3057
643	5520	3051
644	5531	3044
645	5550	3041
646	5564	3035
647	5576	3029
648	5589	3022
649	5600	3015
650	5611	3008
651	5622	3000
652	5638	2996
653	5653	2990
654	5665	2984
655	5685	2981
656	5701	2976
657	5711	2968
658	5729	2964
659	5741	2957
660	5753	2950
661	5764	2943
662	5775	2935
663	5785	2927
664	5796	2920
665	5807	2912
666	5818	2904
667	5829	2897
668	5842	2890
669	5854	2883
670	5865	2875
671	5876	2868
672	5888	2861
673	5900	2854
674	5913	2847
675	5924	2839
676	5935	2831
677	5946	2824
678	5957	2816
679	5969	2809
680	5980	2801
681	5991	2793
682	6001	2785
683	6013	2777
684	6024	2770
685	6035	2762
686	6046	2754
687	6057	2746
688	6068	2739
689	6079	2731
690	6090	2723
691	6101	2715
692	6112	2707
693	6123	2700
694	6134	2692
695	6145	2684
696	6156	2676
697	6167	2668
698	6185	2663
699	6196	2655
700	6207	2647
701	6218	2639
702	6229	2631
703	6241	2624
704	6252	2616
705	6263	2608
706	6274	2600
707	6285	2592
708	6295	2584
709	6305	2575
710	6315	2566
711	6328	2559
712	6340	2552
713	6352	2544
714	6364	2536
715	6375	2528
716	6386	2520
717	6397	2512
718	6408	2504
719	6419	2496
720	6432	2489
721	6443	2480
722	6455	2473
723	6468	2465
724	6481	2458
725	6492	2450
726	6504	2442
727	6515	2434
728	6529	2427
729	6539	2418
730	6552	2411
731	6563	2403
732	6575	2395
733	6586	2387
734	6597	2378
735	6608	2370
736	6620	2362
737	6632	2354
738	6644	2346
739	6656	2338
740	6667	2330
741	6677	2321
742	6688	2313
743	6700	2305
744	6711	2297
745	6723	2289
746	6734	2280
747	6746	2272
748	6757	2264
749	6771	2257
750	6783	2249
751	6796	2241
752	6807	2233
753	6819	2224
754	6830	2216
755	6842	2208
756	6853	2200
757	6864	2191
758	6876	2183
759	6887	2174
760	6899	2166
761	6910	2158
762	6922	2150
763	6933	2141
764	6949	2134
765	6962	2126
766	6973	2118
767	6983	2109
768	6994	2101
769	7005	2092
770	7016	2083
771	7026	2075
772	7038	2066
773	7049	2058
774	7060	2049
775	7071	2041
776	7082	2032
777	7094	2024
778	7104	2015
779	7116	2007
780	7127	1998
781	7139	1990
782	7150	1981
783	7162	1973
784	7173	1964
785	7184	1956
786	7196	1947
787	7207	1938
788	7218	1930
789	7229	1921
790	7241	1913
791	7253	1904
792	7266	1896
793	7278	1888
794	7288	1879
795	7300	1870
796	7311	1862
797	7322	1853
798	7332	1844
799	7343	1835
800	7356	1827
801	7369	1819
802	7380	1810
803	7392	1802
804	7403	1793
805	7414	1784
806	7425	1775
807	7436	1767
808	7447	1758
809	7458	1749
810	7470	1740
811	7481	1732
812	7493	1723
813	7504	1714
814	7515	1706
815	7526	1697
816	7539	1688
817	7550	1679
818	7561	1671
819	7573	1662
820	7584	1653
821	7595	1644
822	7606	1635
823	7617	1627
824	7629	1618
825	7640	1609
826	7651	1600
827	7662	1591
828	7673	1582
829	7684	1573
830	7695	1564
831	7706	1556
832	7717	1547
833	7729	1538
834	7739	1529
835	7750	1520
836	7761	1511
837	7773	1502
838	7784	1493
839	7794	1484
840	7807	1476
841	7817	1466
842	7832	1458
843	7848	1450
844	7863	1442
845	7876	1433
846	7887	1424
847	7898	1415
848	7909	1406
849	7919	1397
850	7931	1388
851	7942	1379
852	7952	1370
853	7964	1361
854	7975	1352
855	7986	1343
856	7998	1334
857	8014	1326
858	8035	1319
859	8052	1310
860	8064	1301
861	8075	1292
862	8086	1283
863	8099	1274
864	8111	1265
865	8122	1256
866	8133	1247
867	8151	1239
868	8163	1230
869	8175	1221
870	8187	1212
871	8198	1203
872	8209	1194
873	8220	1185
874	8231	1175
875	8243	1166
876	8254	1157
877	8265	1148
878	8276	1139
879	8287	1130
880	8298	1120
881	8309	1111
882	8319	1102
883	8331	1093
884	8349	1084
885	8359	1075
886	8370	1066
887	8382	1057
888	8393	1047
889	8405	1038
890	8415	1029
891	8426	1020
892	8437	1011
893	8448	1001
894	8459	992
895	8474	983
896	8486	974
897	8497	965
898	8508	955
899	8520	946
900	8531	937
901	8541	928
902	8553	918
903	8564	909
904	8575	900
905	8586	890
906	8597	881
907	8608	872
908	8619	862
909	8629	853
910	8640	844
911	8651	834
912	8663	825
913	8674	816
914	8684	806
915	8696	797
916	8706	788
917	8717	778
918	8728	769
919	8740	760
920	8751	750
921	8762	741
922	8772	731
923	8784	722
924	8795	713
925	8805	703
926	8816	694
927	8827	684
928	8838	675
929	8850	666
930	8861	656
931	8872	647
932	8883	637
933	8894	628
934	8905	619
935	8917	609
936	8928	600
937	8940	590
938	8951	581
939	8962	572
940	8973	562
941	8985	553
942	8995	543
943	9006	534
944	9018	524
945	9029	515
946	9039	505
947	9051	496
948	9062	487
949	9074	477
950	9085	468
951	9096	458
952	9108	449
953	9119	439
954	9130	430
955	9141	420
956	9152	411
957	9163	401
958	9175	392
959	9186	382
960	9197	373
961	9207	363
962	9218	354
963	9230	344
964	9241	335
965	9251	325
966	9263	316
967	9275	306
968	9292	297
969	9303	287
970	9314	278
971	9326	268
972	9337	259
973	9348	249
974	9359	239
975	9371	230
976	9382	220
977	9392	211
978	9403	201
979	9414	192
980	9425	182
981	9436	172
982	9450	163
983	9461	153
984	9471	144
985	9482	134
986	9494	125
987	9505	115
988	9516	105
989	9528	96
990	9539	86
991	9550	77
992	9560	67
993	9571	57
994	9582	48
995	9593	38
996	9604	28
997	9614	19
998	9625	9
999	9637	0
