iter	Logloss
0	0.6872512945
1	0.6818391733
2	0.6762819064
3	0.6705049838
4	0.665049484
5	0.6608453885
6	0.656071781
7	0.6514639291
8	0.6470669104
9	0.6426222555
10	0.6381302874
11	0.6336910828
12	0.6292021718
13	0.6254360415
14	0.6217667258
15	0.6178251401
16	0.6150282677
17	0.6112930259
18	0.6075076944
19	0.6041288576
20	0.6017969478
21	0.5982800068
22	0.594783869
23	0.5920558427
24	0.5890353818
25	0.5862586663
26	0.5834678138
27	0.5801686804
28	0.5777836402
29	0.5753507065
30	0.5725807577
31	0.5701000856
32	0.567465186
33	0.5647505316
34	0.5619373407
35	0.5595773031
36	0.5569418212
37	0.5549396469
38	0.553007159
39	0.5509719516
40	0.548880847
41	0.5467782292
42	0.5448479779
43	0.5430571998
44	0.5413197276
45	0.5395926622
46	0.5375976268
47	0.5355624965
48	0.5339705489
49	0.5323005555
50	0.5306831134
51	0.5286098316
52	0.5270344692
53	0.5253666102
54	0.5235219682
55	0.5218172763
56	0.5203832503
57	0.5189755864
58	0.5173370763
59	0.5157647459
60	0.5143254627
61	0.5129339071
62	0.511156183
63	0.5099432734
64	0.5087589826
65	0.5068967539
66	0.5056024601
67	0.5044032627
68	0.5031085344
69	0.5022630826
70	0.5011039815
71	0.4999525703
72	0.4988179286
73	0.4973316525
74	0.4962185961
75	0.4951169829
76	0.494043971
77	0.4923795656
78	0.4914876305
79	0.4905859115
80	0.4893429831
81	0.4882459024
82	0.4872607902
83	0.486512657
84	0.485628278
85	0.4844090281
86	0.4834352607
87	0.4822692466
88	0.4812041925
89	0.4799703808
90	0.4788622629
91	0.478132667
92	0.4772925152
93	0.4760646209
94	0.4751099042
95	0.4744632983
96	0.473933317
97	0.472981375
98	0.4721037494
99	0.4710572407
100	0.4702405472
101	0.4693466994
102	0.4685881559
103	0.4680082824
104	0.4671372123
105	0.4663029712
106	0.4653739262
107	0.4646429238
108	0.4638673164
109	0.4633929959
110	0.4628207223
111	0.462289984
112	0.4616632878
113	0.4607722704
114	0.4604024746
115	0.4595676173
116	0.4590737303
117	0.458613873
118	0.4579197942
119	0.4571115336
120	0.4564647932
121	0.4558235288
122	0.4553474291
123	0.4545021375
124	0.4541954294
125	0.4534389452
126	0.4528265066
127	0.4523837449
128	0.4516832386
129	0.4510804279
130	0.4507474982
131	0.4499897701
132	0.4494724493
133	0.4488586736
134	0.448372414
135	0.4478006208
136	0.4471714234
137	0.4465304592
138	0.4459009142
139	0.4454638682
140	0.4448221479
141	0.4442695317
142	0.4437890383
143	0.4433553433
144	0.442652396
145	0.4422896846
146	0.4417539734
147	0.4413154932
148	0.4406862793
149	0.4398493033
150	0.4393260751
151	0.4388586936
152	0.4382875197
153	0.4378962278
154	0.4372361562
155	0.4366758627
156	0.4361996085
157	0.4356821236
158	0.4354173429
159	0.4348845327
160	0.4343924937
161	0.4339310375
162	0.4334260304
163	0.4329117084
164	0.4325481838
165	0.4320452259
166	0.4313150611
167	0.4310423961
168	0.4304310536
169	0.4299451994
170	0.429456013
171	0.428885045
172	0.4284564557
173	0.4278963744
174	0.4272470139
175	0.4267544924
176	0.426213936
177	0.425685298
178	0.4251700524
179	0.4246608531
180	0.424196421
181	0.423862401
182	0.4233240585
183	0.4227422099
184	0.422268044
185	0.4217193774
186	0.4214915551
187	0.4213429316
188	0.4209650023
189	0.4204130063
190	0.4201393565
191	0.4197825061
192	0.4192497465
193	0.4186652219
194	0.4182729709
195	0.417933118
196	0.4176208409
197	0.4172240006
198	0.4168021601
199	0.416294393
200	0.4159675993
201	0.4156111042
202	0.4152461946
203	0.4147906062
204	0.4142805037
205	0.4137000809
206	0.4132245814
207	0.4128129201
208	0.4124380807
209	0.4120035808
210	0.4116395888
211	0.4112848158
212	0.4109532191
213	0.4105882794
214	0.4101350732
215	0.4096509911
216	0.4091717795
217	0.408872197
218	0.4083724858
219	0.4081012192
220	0.4076588981
221	0.4073299941
222	0.4069536292
223	0.4065001733
224	0.4061022708
225	0.4056643662
226	0.4053984844
227	0.4049201444
228	0.404528663
229	0.4042739254
230	0.4039083069
231	0.4034504782
232	0.4030020085
233	0.4026423707
234	0.4022483293
235	0.4019403787
236	0.4015820745
237	0.4011452129
238	0.4007477057
239	0.4003763972
240	0.4000335833
241	0.3997175591
242	0.3991524193
243	0.3986880924
244	0.3983055851
245	0.3980180954
246	0.3976486146
247	0.3973826938
248	0.3970417861
249	0.3967672574
250	0.3964227786
251	0.3960666249
252	0.3958138813
253	0.3955135893
254	0.395086381
255	0.3948499146
256	0.3946053043
257	0.3940872651
258	0.3938120278
259	0.3932260231
260	0.3929691763
261	0.3926658074
262	0.3923418127
263	0.3920537545
264	0.3916323732
265	0.3912750128
266	0.3908141808
267	0.3904605821
268	0.3899929886
269	0.3895861945
270	0.389317063
271	0.3891341192
272	0.3888136514
273	0.3883342243
274	0.3878403417
275	0.387560515
276	0.3873274524
277	0.387089552
278	0.386914547
279	0.3866487465
280	0.3861696128
281	0.385672245
282	0.3852571056
283	0.3848359332
284	0.3843990197
285	0.3840052751
286	0.3835251975
287	0.3831173802
288	0.3829112933
289	0.3825186529
290	0.3822571229
291	0.3819059289
292	0.3816027869
293	0.3814069439
294	0.3809973217
295	0.3805485353
296	0.380439179
297	0.3800181636
298	0.3797501708
299	0.3795026798
300	0.3792050772
301	0.3790203295
302	0.378733182
303	0.3785115539
304	0.378211455
305	0.3779534833
306	0.3776017239
307	0.377309876
308	0.376943277
309	0.3766120615
310	0.3763530216
311	0.3760470175
312	0.375745349
313	0.3754084229
314	0.3751434794
315	0.3749206663
316	0.374482185
317	0.3741816952
318	0.3738816462
319	0.3735546957
320	0.3733478847
321	0.3730139447
322	0.3727677243
323	0.3724580008
324	0.3720510985
325	0.3717736217
326	0.3713924954
327	0.3711414319
328	0.3708631933
329	0.3705273914
330	0.3702915595
331	0.3700252089
332	0.3696262368
333	0.3693065848
334	0.3690087762
335	0.3687552441
336	0.3684652722
337	0.3681457378
338	0.3679429988
339	0.3676921904
340	0.3674442984
341	0.3670349632
342	0.3667079794
343	0.3664594067
344	0.3661670699
345	0.3659814768
346	0.3656833393
347	0.3655202653
348	0.3653289718
349	0.3650902963
350	0.364788572
351	0.3643955167
352	0.364205652
353	0.3640254296
354	0.3639052478
355	0.3637236502
356	0.3633662103
357	0.3631876627
358	0.3629414976
359	0.3627238596
360	0.3625388512
361	0.3622289478
362	0.361914252
